key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
total_time_sec,2.485426,2.937783,2.377603,2.984951,2.407193,2.227525,1.829228,1.864074,2.650266,2.497879,1.825833,1.859087,2.452795,2.530522,2.389386,3.117855,2.401106,3.104545,2.904694,2.478469,2.105129,2.326188,2.331105,1.937067
load_time_sec,1.123126,1.303657,0.988701,1.133688,1.209180,1.198385,0.832018,0.902541,1.168126,1.091796,0.989360,1.038845,1.101034,1.068947,0.967415,1.380597,1.330853,1.323870,1.559669,1.198116,1.139341,1.125639,1.174032,1.139010
detect_races_time_sec,0.262297,0.149595,0.126000,0.142052,0.182952,0.152600,0.147973,0.227366,0.186153,0.189941,0.164634,0.159837,0.139629,0.140807,0.221116,0.207966,0.144303,0.252160,0.149958,0.252259,0.143460,0.176442,0.258758,0.174632
extract_traces_time_sec,0.022199,0.020793,0.019080,0.029334,0.021120,0.020230,0.026559,0.041445,0.029166,0.022498,0.040681,0.030425,0.020831,0.017284,0.017115,0.022472,0.020199,0.021328,0.020799,0.020695,0.020163,0.031823,0.039359,0.029866
find_reactive_cmds_time_sec,0.000212,0.000228,0.000209,0.000223,0.000209,0.000209,0.000320,0.000213,0.000209,0.000217,0.000186,0.000163,0.000224,0.000219,0.000168,0.000227,0.000232,0.000242,0.000233,0.000246,0.000257,0.000232,0.000213,0.000188
find_proactive_cmds_time_sec,0.156406,0.117631,0.149755,0.138631,0.124120,0.113025,0.152066,0.117877,0.167308,0.151108,0.145331,0.184672,0.109448,0.137023,0.093326,0.200640,0.120696,0.291526,0.191721,0.160896,0.120948,0.137692,0.147462,0.107840
find_covered_races_time,0.055434,0.047021,0.049807,0.082743,0.052503,0.040499,0.048596,0.029602,0.038220,0.076476,0.020322,0.025922,0.032887,0.052107,0.032513,0.043102,0.029705,0.063347,0.026246,0.035863,0.020267,0.039974,0.026584,0.015192
per_packet_inconsistent_time_sec,0.017139,0.030038,0.036449,0.030698,0.013505,0.014685,0.011385,0.007519,0.022625,0.016952,0.005367,0.000981,0.023367,0.021296,0.038166,0.023108,0.014154,0.042320,0.009252,0.007443,0.005678,0.017379,0.009809,0.001002
find_inconsistent_update_time_sec,-0.000212,-0.000179,-0.000218,-0.000166,-0.000180,-0.000161,-0.000194,-0.000132,-0.000024,-0.000209,-0.000019,-0.000012,-0.000066,-0.000057,-0.000049,-0.000046,-0.000043,-0.000038,-0.000029,-0.000051,-0.000024,-0.000055,-0.000023,-0.000012
