key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
num_read,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
num_writes,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
num_ops,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
num_rw_time_edges,131,110,103,96,79,68,53,36,20,15,1,0,140,119,112,98,80,69,54,37,20,15,1,0
num_ww_time_edges,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,4,2,2,2,2,0,0,0,0
num_time_edges,131,110,103,96,79,68,53,36,20,15,1,0,152,131,124,102,82,71,56,39,20,15,1,0
num_harmful,0,21,28,35,52,63,78,95,111,116,130,131,0,21,28,50,70,81,96,113,132,137,151,152
num_commute,836,836,836,836,836,836,836,836,836,836,836,836,836,836,836,836,836,836,836,836,836,836,836,836
num_races,836,857,864,871,888,899,914,931,947,952,966,967,836,857,864,886,906,917,932,949,968,973,987,988
num_covered,0,0,0,2,7,14,21,29,36,41,55,56,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_races,0,21,26,30,41,45,53,62,70,70,70,70,0,21,26,30,41,45,53,62,70,70,70,70
num_per_pkt_inconsistent,0,0,2,3,4,4,4,4,5,5,5,5,0,0,2,12,19,26,33,41,50,55,69,70
num_per_pkt_inconsistent_covered,0,0,0,2,7,14,21,29,36,41,55,56,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,21,24,25,30,27,28,29,29,24,10,9,0,21,24,18,22,19,20,21,20,15,1,0
num_per_pkt_inconsistent_no_repeat,0,0,1,2,3,3,3,3,4,4,4,4,0,0,1,7,10,10,10,10,12,12,12,12
