key,value
rw_delta,inf
ww_delta,inf
alt_barr,True
data_deps,True
total_time_sec,0.576417
load_time_sec,0.380767
detect_races_time_sec,0.067290
extract_traces_time_sec,0.007048
find_reactive_cmds_time_sec,0.000140
find_proactive_cmds_time_sec,0.012812
find_covered_races_time,0.092533
per_packet_inconsistent_time_sec,0.015158
find_inconsistent_update_time_sec,-0.000610
