key,value
rw_delta,inf
ww_delta,inf
alt_barr,True
data_deps,True
total_time_sec,10.817906
load_time_sec,3.141823
detect_races_time_sec,0.445789
extract_traces_time_sec,0.069051
find_reactive_cmds_time_sec,0.000045
find_proactive_cmds_time_sec,0.091143
find_covered_races_time,3.762232
per_packet_inconsistent_time_sec,0.449685
find_inconsistent_update_time_sec,-0.000192
