key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
total_time_sec,24.579761,27.382016,23.738006,30.723641,42.529690,46.176481,58.593716,63.068366,67.335577,79.631182,71.157787,68.295267,27.247497,27.049838,24.192644,29.231520,36.351568,41.516851,56.126961,53.544203,70.083098,76.040283,67.666479,46.812974
load_time_sec,8.202981,8.183044,8.188007,8.207537,12.576063,8.245790,7.881324,11.745121,10.990302,7.777356,7.794687,8.847071,8.144662,7.793356,8.256220,7.732465,8.798695,8.758948,12.113814,10.422299,8.462073,10.501015,7.650048,7.791880
detect_races_time_sec,3.044048,2.781037,2.066947,2.225457,2.392119,2.294108,2.203641,2.109529,2.550218,2.043474,2.186061,1.843317,3.083337,2.615353,2.221028,2.037681,2.163234,2.139125,4.654211,2.094032,1.976356,2.256718,1.937559,1.869146
extract_traces_time_sec,4.745787,2.180596,0.552263,0.575052,0.540699,0.534471,0.551688,0.500137,0.545039,0.471018,0.467692,0.129210,5.172271,2.226149,0.593025,0.506177,0.533895,0.494646,0.765617,0.464833,0.449264,0.599854,0.476540,0.136942
find_reactive_cmds_time_sec,0.004604,0.004821,0.004569,0.005045,0.004637,0.005853,0.004999,0.003632,0.003750,0.004148,0.005884,0.001825,0.005861,0.004719,0.004832,0.005365,0.004287,0.004297,0.006747,0.005032,0.005112,0.007007,0.003282,0.001805
find_proactive_cmds_time_sec,0.100331,0.108049,0.101769,0.105659,0.103369,0.104096,0.121405,0.094254,0.115246,0.101642,0.100270,0.359380,0.104677,0.105556,0.106141,0.102512,0.098580,0.108485,0.154396,0.091891,0.099448,0.172332,0.100994,0.444778
find_covered_races_time,6.283323,11.198681,9.643271,15.537044,20.854080,25.277529,36.132917,35.324966,37.437450,51.848766,42.653336,21.614774,8.591977,11.627370,9.744779,15.147693,20.889011,25.915151,33.065175,35.234334,49.081400,55.681763,51.649582,24.624610
per_packet_inconsistent_time_sec,0.003529,0.093722,0.190852,0.285428,0.364255,0.513367,0.592019,0.738355,0.787647,0.935097,1.048363,3.321304,0.004030,0.096242,0.189299,0.292714,0.387059,0.461523,0.591391,0.703098,1.619193,0.903652,1.036117,3.483337
find_inconsistent_update_time_sec,-0.000026,-0.000737,-0.003797,-0.001947,-0.002259,-0.004399,-0.003912,-0.002932,-0.003221,-0.002814,-0.002823,-0.003835,-0.000020,-0.000721,-0.006964,-0.002615,-0.001850,-0.004188,-0.003346,-0.003299,-0.007534,-0.004012,-0.003413,-0.004507
