key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
total_time_sec,0.110182,0.088088,0.080325,0.105101,0.106489,0.103715,0.102081,0.103099,0.101676,0.081186,0.100049,0.102010
load_time_sec,0.066590,0.055969,0.049003,0.063736,0.066164,0.064659,0.063628,0.064249,0.063907,0.053424,0.063266,0.064560
detect_races_time_sec,0.031305,0.022917,0.022435,0.029581,0.028672,0.027816,0.027411,0.027671,0.026777,0.019529,0.025678,0.023507
extract_traces_time_sec,0.007598,0.005248,0.004868,0.006349,0.005870,0.005301,0.005103,0.004938,0.004405,0.003010,0.004010,0.004058
find_reactive_cmds_time_sec,0.000402,0.000300,0.000292,0.000391,0.000403,0.000385,0.000370,0.000379,0.000365,0.000277,0.000370,0.000362
find_proactive_cmds_time_sec,0.004100,0.003143,0.003103,0.004022,0.004139,0.004050,0.003974,0.004048,0.003993,0.003158,0.004006,0.003929
find_covered_races_time,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
per_packet_inconsistent_time_sec,0.000166,0.000491,0.000582,0.000961,0.001158,0.001415,0.001504,0.001720,0.002099,0.001671,0.002530,0.005350
find_inconsistent_update_time_sec,0.000010,0.000012,0.000035,0.000050,0.000072,0.000073,0.000076,0.000078,0.000114,0.000105,0.000174,0.000228
