rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,633,849,147,119,28,196,853,0,657,0,196,36,0,0,0,0,0,28,0
1,1,False,True,633,819,147,119,28,150,853,46,657,0,150,36,13,9,0,4,9,28,0
2,2,False,True,633,819,147,119,28,144,853,52,657,0,144,36,15,10,0,5,10,28,0
3,3,False,True,633,807,147,119,28,132,853,64,657,0,132,36,16,10,0,6,10,28,0
4,4,False,True,633,799,147,119,28,124,853,70,657,2,124,36,16,10,0,6,10,28,0
5,5,False,True,633,798,147,119,28,117,853,76,657,3,117,36,21,11,0,10,11,28,0
6,6,False,True,633,787,147,119,28,107,853,84,657,5,107,36,23,13,0,10,11,28,0
7,7,False,True,633,783,147,119,28,104,853,87,657,5,104,36,24,14,0,10,12,28,0
8,8,False,True,633,770,147,119,28,92,853,93,657,11,92,36,27,16,1,10,15,28,0
9,9,False,True,633,763,147,119,28,85,853,99,657,12,85,36,30,16,1,13,15,28,0
10,10,False,True,633,753,147,119,28,71,853,108,657,17,71,36,30,16,1,13,15,28,0
inf,inf,False,True,633,707,147,119,28,0,853,144,657,52,0,36,35,20,10,5,15,28,0
