key/t,inf,10,9,8,7,6,5,4,3,2,1,0
num_read,363,363,363,363,363,363,363,363,363,363,363,363
num_writes,43,43,43,43,43,43,43,43,43,43,43,43
num_ops,406,406,406,406,406,406,406,406,406,406,406,406
num_rw_time_edges,0,386,425,454,491,518,554,581,604,623,611,663
num_ww_time_edges,0,0,2,2,2,2,4,10,20,40,42,42
num_time_edges,0,386,427,456,493,520,558,591,624,663,653,705
num_harmful,907,442,390,354,306,277,232,189,153,98,70,0
num_commute,4666,4590,4578,4568,4560,4548,4537,4523,4517,4513,4505,4494
num_races,5573,5032,4968,4922,4866,4825,4769,4712,4670,4611,4575,4494
num_per_pkt_races,154,87,80,71,66,58,50,41,37,32,26,0
num_per_pkt_inconsistent,105,55,48,43,38,35,28,21,20,18,15,0
num_per_pkt_inconsistent_covered,49,28,29,26,21,19,19,17,13,8,5,0
num_per_pkt_race_version,0,4,3,2,7,4,3,3,4,6,6,0
num_per_pkt_inconsistent_no_repeat,9,21,19,18,19,20,17,12,16,11,13,0
load_time_sec,1.412410,1.381127,1.532756,1.529338,1.515417,1.405617,1.512638,1.446004,1.398383,1.464728,1.415043,1.380525
detect_races_time_sec,0.515475,0.590731,0.608193,0.643430,0.626308,0.582154,0.603672,0.614023,0.602274,0.651180,0.629742,0.637903
extract_traces_time_sec,0.038440,0.036553,0.037465,0.037999,0.038408,0.035897,0.036580,0.037565,0.037615,0.039002,0.044226,0.062018
per_packet_inconsistent_time_sec,0.121814,0.056591,0.053388,0.048014,0.039504,0.033276,0.029576,0.023225,0.018987,0.013686,0.011963,0.000827
find_reactive_cmds_time_sec,0.000263,0.000330,0.000278,0.000284,0.000291,0.000265,0.000275,0.000268,0.000267,0.000277,0.000280,0.000272
find_proactive_cmds_time_sec,0.085978,0.081797,0.085600,0.092804,0.083694,0.077861,0.082116,0.085055,0.083825,0.084745,0.082106,0.079881
find_inconsistent_update_time_sec,0.000672,0.000621,0.000622,0.000633,0.000548,0.000515,0.000504,0.000420,0.000302,0.000062,0.000028,0.000013
