key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
num_read,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405
num_writes,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472
num_ops,877,877,877,877,877,877,877,877,877,877,877,877,877,877,877,877,877,877,877,877,877,877,877,877
num_rw_time_edges,3431,3331,3218,3106,2975,2863,2766,2647,2538,2441,2352,0,3431,3331,3218,3106,2975,2863,2766,2647,2538,2441,2352,0
num_ww_time_edges,1799,1729,1650,1576,1513,1444,1365,1302,1232,1176,1125,0,2227,2157,2078,2004,1941,1872,1786,1707,1629,1563,1511,0
num_time_edges,5230,5060,4868,4682,4488,4307,4131,3949,3770,3617,3477,0,5658,5488,5296,5110,4916,4735,4552,4354,4167,4004,3863,0
num_harmful,0,170,362,548,742,923,1099,1281,1460,1613,1753,5230,0,170,362,548,742,923,1106,1304,1491,1654,1795,5658
num_commute,108097,108097,108097,108097,108097,108097,108097,108097,108097,108097,108097,108097,108138,108138,108138,108138,108138,108138,108138,108138,108138,108138,108138,108138
num_races,108097,108267,108459,108645,108839,109020,109196,109378,109557,109710,109850,113327,108138,108308,108500,108686,108880,109061,109244,109442,109629,109792,109933,113796
num_covered,0,0,0,0,0,0,0,5,10,15,19,336,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_races,0,71,124,169,195,206,212,217,219,222,223,234,0,71,124,169,195,206,212,217,219,222,223,234
num_per_pkt_inconsistent,0,35,74,108,145,170,178,192,203,206,206,225,0,35,74,108,145,170,178,192,203,206,206,227
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,36,50,61,50,36,34,25,16,16,17,5,0,36,50,61,50,36,34,25,16,16,17,7
num_per_pkt_inconsistent_no_repeat,0,31,62,85,105,122,125,134,135,140,137,104,0,31,62,85,105,122,125,134,135,140,137,104
