key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
total_time_sec,4.959833,5.084223,4.979203,5.066214,5.117848,5.109131,5.293866,5.100529,5.417151,5.197498,5.135145,5.020943,4.067213,3.966080,4.022279,3.963093,4.028468,3.953332,4.077397,4.009459,3.978250,4.202028,4.065717,4.173272
load_time_sec,3.656159,3.596607,3.415360,3.490945,3.457091,3.479850,3.643019,3.467180,3.635919,3.482478,3.465709,3.398390,3.478918,3.383110,3.419207,3.375451,3.432608,3.344163,3.472274,3.401970,3.390038,3.577470,3.448329,3.467443
detect_races_time_sec,0.757303,0.711817,0.718752,0.718235,0.716121,0.709086,0.733192,0.708973,0.709459,0.688274,0.650876,0.654129,0.489247,0.480274,0.487610,0.477971,0.484217,0.486220,0.481522,0.474229,0.458734,0.481536,0.470181,0.470834
extract_traces_time_sec,0.275062,0.257464,0.261034,0.227591,0.245513,0.244521,0.235294,0.232084,0.226946,0.208889,0.219197,0.216297,0.044690,0.038964,0.038612,0.035346,0.036874,0.038851,0.035275,0.039599,0.030558,0.032224,0.029515,0.030340
find_reactive_cmds_time_sec,0.003364,0.003927,0.003193,0.003268,0.003157,0.003387,0.003278,0.003140,0.003334,0.003918,0.003887,0.003146,0.003247,0.003608,0.003155,0.003302,0.003237,0.003164,0.003605,0.003380,0.003146,0.003162,0.003960,0.003094
find_proactive_cmds_time_sec,0.022155,0.021415,0.020554,0.019468,0.020621,0.022657,0.020700,0.023409,0.025362,0.022121,0.026258,0.022046,0.021583,0.020879,0.021037,0.022505,0.021516,0.020403,0.021619,0.021726,0.022599,0.022408,0.023482,0.037769
find_covered_races_time,0.244652,0.486923,0.553052,0.598945,0.666158,0.639772,0.647201,0.653085,0.800791,0.775829,0.748091,0.697131,0.028929,0.034430,0.043988,0.041635,0.042568,0.051292,0.050925,0.056789,0.060014,0.064630,0.069926,0.120169
per_packet_inconsistent_time_sec,0.001062,0.005989,0.007187,0.007669,0.009107,0.009772,0.011096,0.012569,0.015248,0.015906,0.021035,0.029688,0.000529,0.004711,0.008583,0.006776,0.007363,0.009148,0.012084,0.011671,0.013060,0.020482,0.020219,0.040983
find_inconsistent_update_time_sec,-0.000018,-0.000022,-0.000023,-0.000023,-0.000028,-0.000025,-0.000028,-0.000029,-0.000033,-0.000034,-0.000035,-0.000063,-0.000016,-0.000029,-0.000038,-0.000034,-0.000033,-0.000034,-0.000038,-0.000040,-0.000043,-0.000061,-0.000056,-0.002583
