rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,1182,1796,289,217,72,300,3001,0,2701,0,300,80,0,0,0,0,0,50,0
1,1,False,True,1182,1775,289,217,72,251,3001,37,2701,12,251,80,36,29,2,5,22,50,0
2,2,False,True,1182,1770,289,217,72,231,3001,42,2701,27,231,80,41,31,7,3,24,50,0
3,3,False,True,1182,1764,289,217,72,211,3001,52,2701,37,211,80,48,33,8,7,26,50,0
4,4,False,True,1182,1751,289,217,72,185,3001,57,2701,58,185,80,51,34,12,5,26,50,0
5,5,False,True,1182,1744,289,217,72,169,3001,61,2701,70,169,80,55,35,14,6,25,50,0
6,6,False,True,1182,1742,289,217,72,164,3001,64,2701,72,164,80,57,35,14,8,25,50,0
7,7,False,True,1182,1741,289,217,72,159,3001,68,2701,73,159,80,61,35,15,11,25,50,0
8,8,False,True,1182,1738,289,217,72,148,3001,73,2701,79,148,80,66,35,17,14,25,50,0
9,9,False,True,1182,1732,289,217,72,134,3001,78,2701,88,134,80,68,36,18,14,26,50,0
10,10,False,True,1182,1729,289,217,72,126,3001,80,2701,94,126,80,69,37,18,14,26,50,0
inf,inf,False,True,1182,1616,289,217,72,0,3001,102,2701,198,0,80,75,38,34,3,32,50,0
