key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
num_read,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
num_writes,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
num_ops,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
num_rw_time_edges,170,156,134,114,86,58,35,24,17,15,5,0,170,156,134,114,86,58,35,24,17,15,5,0
num_ww_time_edges,19,14,8,6,2,2,0,0,0,0,0,0,77,72,66,64,60,60,46,40,27,21,5,0
num_time_edges,189,170,142,120,88,60,35,24,17,15,5,0,247,228,200,178,146,118,81,64,44,36,10,0
num_harmful,0,19,47,69,101,129,154,165,172,174,184,189,0,19,47,69,101,129,166,183,203,211,237,247
num_commute,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962
num_races,1962,1981,2009,2031,2063,2091,2116,2127,2134,2136,2146,2151,1962,1981,2009,2031,2063,2091,2128,2145,2165,2173,2199,2209
num_covered,0,0,0,0,0,0,2,4,6,7,15,18,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_races,0,12,26,36,42,45,47,47,47,48,48,49,0,12,26,36,42,45,47,47,47,48,48,49
num_per_pkt_inconsistent,0,3,9,16,20,31,35,38,38,38,38,38,0,3,9,16,20,31,35,39,40,41,43,44
num_per_pkt_inconsistent_covered,0,0,0,0,0,0,0,1,2,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,9,17,20,22,14,12,8,7,7,5,5,0,9,17,20,22,14,12,8,7,7,5,5
num_per_pkt_inconsistent_no_repeat,0,3,8,13,15,19,19,20,18,18,19,18,0,3,8,13,15,19,19,20,19,19,21,20
