rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,190,245,39,36,3,69,104,0,35,0,69,36,0,0,0,0,0,5,0
1,1,False,True,190,245,39,36,3,66,104,3,35,0,66,36,3,0,0,3,0,5,0
2,2,False,True,190,244,39,36,3,62,104,6,35,1,62,36,7,0,1,6,0,5,0
3,3,False,True,190,243,39,36,3,58,104,9,35,2,58,36,10,0,2,8,0,5,0
4,4,False,True,190,239,39,36,3,54,104,9,35,6,54,36,11,0,6,5,0,5,0
5,5,False,True,190,236,39,36,3,51,104,9,35,9,51,36,11,0,9,2,0,5,0
6,6,False,True,190,233,39,36,3,48,104,9,35,12,48,36,11,0,11,0,0,5,0
7,7,False,True,190,233,39,36,3,47,104,10,35,12,47,36,12,0,11,1,0,5,0
8,8,False,True,190,233,39,36,3,43,104,13,35,13,43,36,16,0,12,4,0,5,0
9,9,False,True,190,233,39,36,3,39,104,17,35,13,39,36,20,0,12,8,0,5,0
10,10,False,True,190,232,39,36,3,35,104,19,35,15,35,36,23,0,14,9,0,5,0
inf,inf,False,True,190,209,39,36,3,0,104,28,35,41,0,36,35,0,35,0,0,5,0
