rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
0,0,False,True,0.207245,0.113568,0.037796,0.015869,0.000187,0.011086,0.028388,0.000313,-0.000006
1,1,False,True,0.229058,0.119057,0.037362,0.014483,0.000161,0.011255,0.044544,0.002151,-0.000014
2,2,False,True,0.241424,0.114160,0.038658,0.013528,0.000152,0.010501,0.060603,0.003772,-0.000018
3,3,False,True,0.252780,0.115080,0.036343,0.013024,0.000154,0.010316,0.073058,0.004749,-0.000024
4,4,False,True,0.258207,0.113979,0.036464,0.012993,0.000152,0.010521,0.076040,0.007979,-0.000036
5,5,False,True,0.261602,0.114707,0.036375,0.012979,0.000181,0.010565,0.081068,0.005667,-0.000028
6,6,False,True,0.267661,0.114417,0.035853,0.012446,0.000151,0.010349,0.087181,0.007199,-0.000032
7,7,False,True,0.283239,0.115232,0.035344,0.011980,0.000147,0.010620,0.101822,0.008023,-0.000036
8,8,False,True,0.279360,0.115579,0.035182,0.011544,0.000147,0.010538,0.097996,0.008303,-0.000039
9,9,False,True,0.290651,0.117205,0.034647,0.010222,0.000149,0.011211,0.106187,0.010947,-0.000047
10,10,False,True,0.288850,0.115576,0.034111,0.009681,0.000144,0.011261,0.106620,0.011373,-0.000049
inf,inf,False,True,0.271324,0.116900,0.031264,0.007422,0.000165,0.010815,0.087083,0.017569,-0.000073
