key,value
rw_delta,2
ww_delta,2
alt_barr,True
data_deps,True
total_time_sec,0.421593
load_time_sec,0.203997
detect_races_time_sec,0.048000
extract_traces_time_sec,0.017660
find_reactive_cmds_time_sec,0.000248
find_proactive_cmds_time_sec,0.078100
find_covered_races_time,0.069480
per_packet_inconsistent_time_sec,0.004057
find_inconsistent_update_time_sec,-0.000015
