rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,1749,5096,577,516,61,3363,11087,0,7724,0,3363,234,0,0,0,0,0,80,0
1,1,False,True,1749,4913,577,516,61,3127,11087,236,7724,0,3127,234,72,36,0,36,33,80,21
2,2,False,True,1749,4680,577,516,61,2835,11087,525,7724,3,2835,234,102,55,0,47,47,80,53
3,3,False,True,1749,4408,577,516,61,2510,11087,843,7724,10,2510,234,126,72,0,54,58,80,72
4,4,False,True,1749,4093,577,516,61,2138,11087,1195,7724,30,2138,234,150,87,4,59,69,80,90
5,5,False,True,1749,3803,577,516,61,1807,11087,1499,7724,57,1807,234,166,99,7,60,77,80,98
6,6,False,True,1749,3546,577,516,61,1505,11087,1765,7724,93,1505,234,185,111,14,60,85,80,100
7,7,False,True,1749,3282,577,516,61,1194,11087,2016,7724,153,1194,234,206,129,23,54,92,80,100
8,8,False,True,1749,3031,577,516,61,904,11087,2243,7724,216,904,234,219,142,25,52,89,80,100
9,9,False,True,1749,2794,577,516,61,636,11087,2456,7724,271,636,234,229,151,32,46,87,80,100
10,10,False,True,1749,2575,577,516,61,401,11087,2654,7724,308,401,234,233,154,37,42,81,80,100
inf,inf,False,True,1749,2181,577,516,61,0,11087,2884,7724,479,0,234,233,154,57,22,43,80,100
