key,value
rw_delta,inf
ww_delta,inf
alt_barr,False
data_deps,True
total_time_sec,31.486394
load_time_sec,20.811473
detect_races_time_sec,3.475317
extract_traces_time_sec,2.012222
find_reactive_cmds_time_sec,0.019147
find_proactive_cmds_time_sec,0.321732
find_covered_races_time,4.376855
per_packet_inconsistent_time_sec,0.413283
find_inconsistent_update_time_sec,-0.056313
