key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
num_read,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
num_writes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
num_ops,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
num_rw_time_edges,54,48,46,37,32,26,18,13,7,2,0,0,56,50,48,37,32,26,18,13,7,2,0,0
num_ww_time_edges,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0
num_time_edges,54,48,46,37,32,26,18,13,7,2,0,0,58,52,50,37,32,26,18,13,7,2,0,0
num_harmful,0,6,8,17,22,28,36,41,47,52,54,54,0,6,8,21,26,32,40,45,51,56,58,58
num_commute,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
num_races,29,35,37,46,51,57,65,70,76,81,83,83,29,35,37,50,55,61,69,74,80,85,87,87
num_covered,0,0,0,1,4,8,12,12,17,22,24,24,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_races,0,6,8,14,16,18,22,27,28,28,28,28,0,6,8,14,16,18,22,27,28,28,28,28
num_per_pkt_inconsistent,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,5,8,12,16,16,21,26,28,28
num_per_pkt_inconsistent_covered,0,0,0,1,4,8,12,12,17,22,24,24,0,0,0,0,0,0,0,0,0,0,0,0
num_per_pkt_entry_version_race,0,6,8,11,10,8,8,13,9,4,2,2,0,6,8,9,8,6,6,11,7,2,0,0
num_per_pkt_inconsistent_no_repeat,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2
