key,value
rw_delta,5
ww_delta,5
alt_barr,True
data_deps,True
total_time_sec,9.700719
load_time_sec,3.083311
detect_races_time_sec,0.803417
extract_traces_time_sec,0.074655
find_reactive_cmds_time_sec,0.000035
find_proactive_cmds_time_sec,0.092969
find_covered_races_time,5.570039
per_packet_inconsistent_time_sec,0.076148
find_inconsistent_update_time_sec,-0.000107
