rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,2067,3321,714,682,32,1381,5190,0,3809,0,1381,316,0,0,0,0,0,1,0
1,1,False,True,2067,3318,714,682,32,1377,5190,4,3809,0,1377,316,4,0,0,4,0,1,0
2,2,False,True,2067,3316,714,682,32,1370,5190,11,3809,0,1370,316,11,0,0,11,0,1,0
3,3,False,True,2067,3267,714,682,32,1267,5190,67,3809,47,1267,316,42,13,13,16,10,1,0
4,4,False,True,2067,3196,714,682,32,1123,5190,142,3809,116,1123,316,81,31,31,19,14,1,0
5,5,False,True,2067,3122,714,682,32,976,5190,215,3809,190,976,316,107,54,35,18,17,1,0
6,6,False,True,2067,3064,714,682,32,865,5190,270,3809,246,865,316,135,64,53,18,17,1,0
7,7,False,True,2067,3021,714,682,32,781,5190,314,3809,286,781,316,156,72,68,16,16,1,0
8,8,False,True,2067,2975,714,682,32,691,5190,360,3809,330,691,316,172,84,75,13,16,1,0
9,9,False,True,2067,2923,714,682,32,585,5190,414,3809,382,585,316,196,100,82,14,17,1,0
10,10,False,True,2067,2859,714,682,32,458,5190,477,3809,446,458,316,222,115,98,9,17,1,0
inf,inf,False,True,2067,2622,714,682,32,0,5190,699,3809,682,0,316,315,174,141,0,16,1,0
