rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,970,1358,239,222,17,467,3848,0,3381,0,467,226,0,0,0,0,0,18,0
1,1,False,True,970,1346,239,222,17,430,3848,37,3381,0,430,226,32,0,0,32,0,18,0
2,2,False,True,970,1339,239,222,17,399,3848,65,3381,3,399,226,57,0,3,54,0,18,0
3,3,False,True,970,1320,239,222,17,351,3848,106,3381,10,351,226,90,0,10,80,0,18,0
4,4,False,True,970,1295,239,222,17,314,3848,119,3381,34,314,226,103,0,32,71,0,18,0
5,5,False,True,970,1265,239,222,17,263,3848,146,3381,58,263,226,124,0,54,70,0,18,0
6,6,False,True,970,1233,239,222,17,206,3848,174,3381,87,206,226,149,0,77,72,0,18,0
7,7,False,True,970,1220,239,222,17,177,3848,191,3381,99,177,226,165,0,89,76,0,18,0
8,8,False,True,970,1193,239,222,17,126,3848,215,3381,126,126,226,189,0,113,76,0,18,0
9,9,False,True,970,1166,239,222,17,83,3848,232,3381,152,83,226,205,0,138,67,0,18,0
10,10,False,True,970,1141,239,222,17,45,3848,248,3381,174,45,226,218,0,157,61,0,18,0
inf,inf,False,True,970,1096,239,222,17,0,3848,248,3381,219,0,226,218,0,198,20,0,18,0
