rw_delta,ww_delta,alt_barr,data_deps,num_events,num_edges,num_ops,num_read,num_writes,num_time_edges,num_races,num_harmful,num_commute,num_covered,num_time_filtered_races,num_pkts,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
0,0,False,True,736,1111,215,169,46,358,2853,0,2495,0,358,71,0,0,0,0,0,41,0
1,1,False,True,736,1111,215,169,46,322,2853,36,2495,0,322,71,19,15,0,4,15,41,0
2,2,False,True,736,1108,215,169,46,297,2853,59,2495,2,297,71,28,21,1,6,17,41,0
3,3,False,True,736,1100,215,169,46,276,2853,68,2495,14,276,71,34,23,4,7,19,41,0
4,4,False,True,736,1080,215,169,46,249,2853,77,2495,32,249,71,37,25,6,6,20,41,0
5,5,False,True,736,1071,215,169,46,216,2853,97,2495,45,216,71,48,30,10,8,22,41,0
6,6,False,True,736,1061,215,169,46,204,2853,105,2495,49,204,71,52,32,12,8,21,41,0
7,7,False,True,736,1052,215,169,46,183,2853,114,2495,61,183,71,57,34,16,7,22,41,0
8,8,False,True,736,1034,215,169,46,165,2853,117,2495,76,165,71,57,34,17,6,20,41,0
9,9,False,True,736,1019,215,169,46,153,2853,119,2495,86,153,71,58,34,19,5,21,41,0
10,10,False,True,736,1005,215,169,46,140,2853,127,2495,91,140,71,60,36,19,5,23,41,0
inf,inf,False,True,736,900,215,169,46,0,2853,190,2495,168,0,71,70,45,20,5,21,41,0
