app,controller,topology,steps,rw_delta,ww_delta,alt_barr,data_deps,num_read,num_writes,num_ops,num_rw_time_edges,num_ww_time_edges,num_time_edges,num_harmful,num_commute,num_races,num_covered,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat
forwarding_fixed,POX_EEL,BinTree1,200,4,4,True,True,184,84,268,267,78,345,141,5876,6017,0,34,30,0,4,23
forwarding_fixed,POX_EEL,BinTree1,200,5,5,False,True,184,84,268,197,24,221,138,4462,4600,29,45,36,3,6,25
forwarding_fixed,POX_EEL,BinTree1,200,5,5,True,True,184,84,268,245,78,323,163,5876,6039,0,44,36,0,8,24
forwarding_fixed,POX_EEL,BinTree1,200,6,6,False,True,184,84,268,182,24,206,153,4462,4615,36,49,37,5,7,22
forwarding_fixed,POX_EEL,BinTree1,200,6,6,True,True,184,84,268,230,78,308,178,5876,6054,0,48,38,0,10,22
forwarding_fixed,POX_EEL,BinTree1,200,7,7,False,True,184,84,268,170,24,194,165,4462,4627,40,53,41,5,7,23
forwarding_fixed,POX_EEL,BinTree1,200,7,7,True,True,184,84,268,217,78,295,191,5876,6067,0,52,43,0,9,23
forwarding_fixed,POX_EEL,BinTree1,200,8,8,False,True,184,84,268,162,24,186,173,4462,4635,40,55,45,3,7,24
forwarding_fixed,POX_EEL,BinTree1,200,8,8,True,True,184,84,268,209,78,287,199,5876,6075,0,54,45,0,9,22
forwarding_fixed,POX_EEL,BinTree1,200,9,9,False,True,184,84,268,148,24,172,187,4462,4649,42,59,50,3,6,24
forwarding_fixed,POX_EEL,BinTree1,200,9,9,True,True,184,84,268,195,78,273,213,5876,6089,0,58,50,0,8,22
forwarding_fixed,POX_EEL,BinTree1,200,10,10,False,True,184,84,268,148,24,172,187,4462,4649,42,59,50,3,6,24
forwarding_fixed,POX_EEL,BinTree1,200,10,10,True,True,184,84,268,195,78,273,213,5876,6089,0,58,50,0,8,22
forwarding_fixed,POX_EEL,BinTree1,200,inf,inf,False,True,184,84,268,0,0,0,359,4462,4821,159,62,53,7,2,28
forwarding_fixed,POX_EEL,BinTree1,200,inf,inf,True,True,184,84,268,0,0,0,486,5876,6362,0,62,54,0,8,25
forwarding_fixed,POX_EEL,BinTree2,200,0,0,False,True,320,547,867,529,370,899,0,40182,40182,0,0,0,0,0,0
forwarding_fixed,POX_EEL,BinTree2,200,0,0,True,True,320,547,867,653,541,1194,0,46096,46096,0,0,0,0,0,0
forwarding_fixed,POX_EEL,BinTree2,200,1,1,False,True,320,547,867,494,370,864,35,40182,40217,1,26,6,1,19,5
forwarding_fixed,POX_EEL,BinTree2,200,1,1,True,True,320,547,867,594,533,1127,67,46096,46163,0,39,9,0,30,8
