App,Controller,Topology,Steps,rw_delta,ww_delta,alt_barr,data_deps,total_time_sec,load_time_sec,detect_races_time_sec,extract_traces_time_sec,find_reactive_cmds_time_sec,find_proactive_cmds_time_sec,find_covered_races_time,per_packet_inconsistent_time_sec,find_inconsistent_update_time_sec
Forwarding,POX EEL,Linear,200,9,9,False,True,0.674616,0.437045,0.088949,0.013900,0.000665,0.028021,0.100572,0.005328,-0.000084
Forwarding,POX EEL,Linear,200,9,9,True,True,0.648207,0.428782,0.079795,0.010249,0.000696,0.026989,0.095578,0.005897,-0.000171
Forwarding,POX EEL,Linear,200,10,10,False,True,0.646209,0.411506,0.075983,0.011615,0.000714,0.029444,0.110704,0.006086,-0.000095
Forwarding,POX EEL,Linear,200,10,10,True,True,0.686454,0.434897,0.083367,0.011253,0.000650,0.014696,0.133489,0.007775,-0.000274
Forwarding,POX EEL,Linear,200,inf,inf,False,True,0.683707,0.422359,0.075279,0.020919,0.001155,0.029058,0.120484,0.014256,-0.000145
Forwarding,POX EEL,Linear,200,inf,inf,True,True,0.669231,0.409236,0.074124,0.009940,0.000608,0.014237,0.143338,0.017300,-0.000383
Forwarding,POX EEL,Star,200,0,0,False,True,0.201873,0.146194,0.023078,0.008987,0.000301,0.011220,0.011856,0.000187,-0.000006
Forwarding,POX EEL,Star,200,0,0,True,True,0.196761,0.148890,0.023539,0.006556,0.000262,0.011869,0.005314,0.000280,-0.000006
Forwarding,POX EEL,Star,200,1,1,False,True,0.200239,0.144424,0.022393,0.008321,0.000265,0.011710,0.012672,0.000394,-0.000007
Forwarding,POX EEL,Star,200,1,1,True,True,0.194282,0.147119,0.022886,0.005883,0.000257,0.011571,0.006002,0.000512,-0.000009
Forwarding,POX EEL,Star,200,2,2,False,True,0.206029,0.148209,0.024534,0.008620,0.000271,0.011698,0.012160,0.000481,-0.000006
Forwarding,POX EEL,Star,200,2,2,True,True,0.191419,0.144184,0.022297,0.005868,0.000265,0.012153,0.005911,0.000684,-0.000009
Forwarding,POX EEL,Star,200,3,3,False,True,0.201194,0.145864,0.023092,0.007923,0.000280,0.011333,0.012110,0.000539,-0.000006
Forwarding,POX EEL,Star,200,3,3,True,True,0.188828,0.141061,0.022768,0.005768,0.000280,0.011785,0.006361,0.000749,-0.000010
Forwarding,POX EEL,Star,200,4,4,False,True,0.202834,0.146523,0.022350,0.007900,0.000269,0.012160,0.012907,0.000666,-0.000007
Forwarding,POX EEL,Star,200,4,4,True,True,0.191729,0.143110,0.022307,0.005677,0.000267,0.012128,0.007162,0.001023,-0.000011
Forwarding,POX EEL,Star,200,5,5,False,True,0.204152,0.148720,0.021617,0.007617,0.000273,0.011800,0.013212,0.000856,-0.000008
Forwarding,POX EEL,Star,200,5,5,True,True,0.192175,0.145849,0.021523,0.005454,0.000277,0.011840,0.006107,0.001070,-0.000010
Forwarding,POX EEL,Star,200,6,6,False,True,0.201812,0.146078,0.021283,0.007478,0.000274,0.011652,0.013992,0.000998,-0.000008
