App,Controller,Topology,Steps,rw_delta,ww_delta,alt_barr,data_deps,num_read,num_writes,num_ops,num_rw_time_edges,num_ww_time_edges,num_time_edges,num_harmful,num_commute,num_races,num_covered,num_per_pkt_races,num_per_pkt_inconsistent,num_per_pkt_inconsistent_covered,num_per_pkt_entry_version_race,num_per_pkt_inconsistent_no_repeat,num_versions,num_racing_versions
Forwarding,POX EEL,Mesh2,200,inf,inf,True,True,103,20,123,0,0,0,447,650,1097,12,50,50,0,0,6,14,11
Forwarding,POX EEL,Star2,200,0,0,False,True,37,8,45,59,0,59,0,183,183,0,0,0,0,0,0,5,0
Forwarding,POX EEL,Star2,200,0,0,True,True,37,8,45,68,7,75,0,233,233,0,0,0,0,0,0,5,0
Forwarding,POX EEL,Star2,200,1,1,False,True,37,8,45,57,0,57,2,183,185,0,2,0,0,2,0,5,0
Forwarding,POX EEL,Star2,200,1,1,True,True,37,8,45,64,6,70,5,233,238,0,4,0,0,4,0,5,0
Forwarding,POX EEL,Star2,200,2,2,False,True,37,8,45,54,0,54,5,183,188,2,5,0,2,3,0,5,0
Forwarding,POX EEL,Star2,200,2,2,True,True,37,8,45,60,6,66,9,233,242,0,8,0,0,8,0,5,0
Forwarding,POX EEL,Star2,200,3,3,False,True,37,8,45,52,0,52,7,183,190,3,7,0,3,4,0,5,0
Forwarding,POX EEL,Star2,200,3,3,True,True,37,8,45,58,6,64,11,233,244,0,10,0,0,10,0,5,0
Forwarding,POX EEL,Star2,200,4,4,False,True,37,8,45,49,0,49,10,183,193,5,10,0,5,5,0,5,0
Forwarding,POX EEL,Star2,200,4,4,True,True,37,8,45,55,6,61,14,233,247,0,13,0,0,13,0,5,0
Forwarding,POX EEL,Star2,200,5,5,False,True,37,8,45,47,0,47,12,183,195,5,12,0,5,7,0,5,0
Forwarding,POX EEL,Star2,200,5,5,True,True,37,8,45,53,6,59,16,233,249,0,15,0,0,15,0,5,0
Forwarding,POX EEL,Star2,200,6,6,False,True,37,8,45,43,0,43,16,183,199,7,16,0,7,9,0,5,0
Forwarding,POX EEL,Star2,200,6,6,True,True,37,8,45,49,6,55,20,233,253,0,19,0,0,19,0,5,0
Forwarding,POX EEL,Star2,200,7,7,False,True,37,8,45,39,0,39,20,183,203,9,20,0,9,11,0,5,0
Forwarding,POX EEL,Star2,200,7,7,True,True,37,8,45,45,6,51,24,233,257,0,23,0,0,23,0,5,0
Forwarding,POX EEL,Star2,200,8,8,False,True,37,8,45,34,0,34,25,183,208,11,25,0,11,14,0,5,0
Forwarding,POX EEL,Star2,200,8,8,True,True,37,8,45,40,6,46,29,233,262,0,28,0,0,28,0,5,0
Forwarding,POX EEL,Star2,200,9,9,False,True,37,8,45,31,0,31,28,183,211,14,28,0,14,14,0,5,0
Forwarding,POX EEL,Star2,200,9,9,True,True,37,8,45,37,6,43,32,233,265,0,31,0,0,31,0,5,0
Forwarding,POX EEL,Star2,200,10,10,False,True,37,8,45,31,0,31,28,183,211,14,28,0,14,14,0,5,0
Forwarding,POX EEL,Star2,200,10,10,True,True,37,8,45,37,6,43,32,233,265,0,31,0,0,31,0,5,0
Forwarding,POX EEL,Star2,200,inf,inf,False,True,37,8,45,0,0,0,59,183,242,42,31,0,28,3,0,5,0
Forwarding,POX EEL,Star2,200,inf,inf,True,True,37,8,45,0,0,0,75,233,308,0,34,0,0,34,0,5,3
Forwarding,POX EEL Fixed,BinTree1,200,0,0,False,True,198,106,304,258,0,258,0,4609,4609,0,0,0,0,0,0,47,0
Forwarding,POX EEL Fixed,BinTree1,200,0,0,True,True,198,106,304,378,103,481,0,8235,8235,0,0,0,0,0,0,47,0
Forwarding,POX EEL Fixed,BinTree1,200,1,1,False,True,198,106,304,234,0,234,24,4609,4633,0,23,21,0,2,13,47,0
Forwarding,POX EEL Fixed,BinTree1,200,1,1,True,True,198,106,304,345,100,445,36,8235,8271,0,14,7,0,7,7,47,0
Forwarding,POX EEL Fixed,BinTree1,200,2,2,False,True,198,106,304,226,0,226,32,4609,4641,1,28,22,0,6,15,47,0
Forwarding,POX EEL Fixed,BinTree1,200,2,2,True,True,198,106,304,329,100,429,52,8235,8287,4,21,11,1,9,10,47,0
Forwarding,POX EEL Fixed,BinTree1,200,3,3,False,True,198,106,304,221,0,221,37,4609,4646,3,30,23,1,6,16,47,0
Forwarding,POX EEL Fixed,BinTree1,200,3,3,True,True,198,106,304,324,100,424,57,8235,8292,6,23,12,2,9,11,47,0
Forwarding,POX EEL Fixed,BinTree1,200,4,4,False,True,198,106,304,212,0,212,46,4609,4655,9,32,24,3,5,17,47,0
Forwarding,POX EEL Fixed,BinTree1,200,4,4,True,True,198,106,304,315,100,415,66,8235,8301,9,25,13,4,8,12,47,0
Forwarding,POX EEL Fixed,BinTree1,200,5,5,False,True,198,106,304,202,0,202,56,4609,4665,13,37,25,4,8,18,47,0
Forwarding,POX EEL Fixed,BinTree1,200,5,5,True,True,198,106,304,303,100,403,78,8235,8313,11,31,15,4,12,14,47,0
Forwarding,POX EEL Fixed,BinTree1,200,6,6,False,True,198,106,304,185,0,185,73,4609,4682,23,43,27,8,8,19,47,0
Forwarding,POX EEL Fixed,BinTree1,200,6,6,True,True,198,106,304,284,100,384,97,8235,8332,15,37,19,5,13,16,47,0
Forwarding,POX EEL Fixed,BinTree1,200,7,7,False,True,198,106,304,174,0,174,84,4609,4693,28,47,30,7,10,19,47,0
Forwarding,POX EEL Fixed,BinTree1,200,7,7,True,True,198,106,304,268,100,368,113,8235,8348,18,42,21,6,15,15,47,0
Forwarding,POX EEL Fixed,BinTree1,200,8,8,False,True,198,106,304,160,0,160,98,4609,4707,31,54,33,9,12,20,47,0
Forwarding,POX EEL Fixed,BinTree1,200,8,8,True,True,198,106,304,250,100,350,131,8235,8366,20,50,25,8,17,17,47,0
Forwarding,POX EEL Fixed,BinTree1,200,9,9,False,True,198,106,304,143,0,143,115,4609,4724,38,60,37,10,13,20,47,0
Forwarding,POX EEL Fixed,BinTree1,200,9,9,True,True,198,106,304,232,100,332,149,8235,8384,25,57,29,9,19,16,47,0
Forwarding,POX EEL Fixed,BinTree1,200,10,10,False,True,198,106,304,134,0,134,124,4609,4733,42,65,37,11,17,19,47,0
Forwarding,POX EEL Fixed,BinTree1,200,10,10,True,True,198,106,304,219,100,319,162,8235,8397,30,63,31,10,22,17,47,0
Forwarding,POX EEL Fixed,BinTree1,200,inf,inf,False,True,198,106,304,0,0,0,258,4609,4867,156,72,38,30,4,25,47,0
Forwarding,POX EEL Fixed,BinTree1,200,inf,inf,True,True,198,106,304,0,0,0,481,8235,8716,38,76,51,0,25,26,47,20
Forwarding,POX EEL Fixed,BinTree2,200,0,0,False,True,266,510,776,454,206,660,0,28231,28231,0,0,0,0,0,0,451,0
Forwarding,POX EEL Fixed,BinTree2,200,0,0,True,True,266,510,776,563,465,1028,0,37459,37459,0,0,0,0,0,0,451,0
Forwarding,POX EEL Fixed,BinTree2,200,1,1,False,True,266,510,776,449,206,655,5,28231,28236,0,7,4,0,3,2,451,0
Forwarding,POX EEL Fixed,BinTree2,200,1,1,True,True,266,510,776,554,458,1012,16,37459,37475,0,8,2,0,6,2,451,0
Forwarding,POX EEL Fixed,BinTree2,200,2,2,False,True,266,510,776,442,206,648,12,28231,28243,0,11,5,0,6,4,451,0
Forwarding,POX EEL Fixed,BinTree2,200,2,2,True,True,266,510,776,543,458,1001,27,37459,37486,0,15,3,0,12,3,451,0
Forwarding,POX EEL Fixed,BinTree2,200,3,3,False,True,266,510,776,434,206,640,20,28231,28251,1,19,12,0,7,8,451,0
Forwarding,POX EEL Fixed,BinTree2,200,3,3,True,True,266,510,776,527,458,985,43,37459,37502,0,21,8,0,13,8,451,0
Forwarding,POX EEL Fixed,BinTree2,200,4,4,False,True,266,510,776,429,206,635,25,28231,28256,2,24,18,0,6,13,451,0
Forwarding,POX EEL Fixed,BinTree2,200,4,4,True,True,266,510,776,519,458,977,51,37459,37510,1,23,9,1,13,9,451,0
Forwarding,POX EEL Fixed,BinTree2,200,5,5,False,True,266,510,776,420,206,626,34,28231,28265,5,27,19,0,8,15,451,0
Forwarding,POX EEL Fixed,BinTree2,200,5,5,True,True,266,510,776,508,458,966,62,37459,37521,2,25,9,1,15,9,451,0
Forwarding,POX EEL Fixed,BinTree2,200,6,6,False,True,266,510,776,414,206,620,40,28231,28271,6,28,19,0,9,17,451,0
Forwarding,POX EEL Fixed,BinTree2,200,6,6,True,True,266,510,776,500,458,958,70,37459,37529,3,26,10,1,15,10,451,0
Forwarding,POX EEL Fixed,BinTree2,200,7,7,False,True,266,510,776,409,206,615,45,28231,28276,9,30,19,0,11,17,451,0
Forwarding,POX EEL Fixed,BinTree2,200,7,7,True,True,266,510,776,494,458,952,76,37459,37535,5,28,11,1,16,11,451,0
Forwarding,POX EEL Fixed,BinTree2,200,8,8,False,True,266,510,776,403,206,609,51,28231,28282,9,34,19,0,15,17,451,0
Forwarding,POX EEL Fixed,BinTree2,200,8,8,True,True,266,510,776,486,458,944,84,37459,37543,6,33,13,1,19,13,451,0
Forwarding,POX EEL Fixed,BinTree2,200,9,9,False,True,266,510,776,394,206,600,60,28231,28291,10,43,23,0,20,21,451,0
Forwarding,POX EEL Fixed,BinTree2,200,9,9,True,True,266,510,776,473,458,931,97,37459,37556,7,39,14,1,24,14,451,0
Forwarding,POX EEL Fixed,BinTree2,200,10,10,False,True,266,510,776,393,206,599,61,28231,28292,10,43,23,0,20,21,451,0
Forwarding,POX EEL Fixed,BinTree2,200,10,10,True,True,266,510,776,471,458,929,99,37459,37558,7,40,14,1,25,14,451,0
Forwarding,POX EEL Fixed,BinTree2,200,inf,inf,False,True,266,510,776,0,0,0,660,28231,28891,247,120,54,24,42,51,451,69
