key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
total_time_sec,5.753426,5.832493,7.884764,6.476166,6.400130,6.618207,6.654964,6.629501,6.792426,6.513508,8.608802,6.112828,5.707873,5.862960,5.667257,5.658137,5.808419,5.746248,6.004737,6.031453,6.295023,5.996405,5.917979,6.271200
load_time_sec,3.773784,3.744761,5.668943,4.101891,3.871105,3.904241,3.973249,3.949047,4.074104,3.897452,5.272182,3.653023,3.752241,4.012003,3.753535,3.692671,3.812243,3.684832,3.904154,3.793431,3.990247,3.861401,3.787027,3.932244
detect_races_time_sec,1.441357,1.431784,1.472330,1.459880,1.564773,1.464348,1.496293,1.502702,1.475220,1.450334,2.167893,1.365541,1.488119,1.410036,1.401112,1.373363,1.361820,1.385803,1.364251,1.427860,1.463843,1.393786,1.364525,1.406102
extract_traces_time_sec,0.204229,0.048119,0.047026,0.045845,0.042284,0.046962,0.045213,0.043115,0.043260,0.034236,0.036194,0.035837,0.050464,0.047846,0.043827,0.047777,0.041402,0.042139,0.039233,0.043303,0.041664,0.035008,0.035772,0.038414
find_reactive_cmds_time_sec,0.001143,0.000829,0.000854,0.000796,0.000831,0.000830,0.000842,0.000820,0.000842,0.001740,0.000792,0.000812,0.000819,0.000783,0.000801,0.000838,0.000810,0.000800,0.000825,0.000853,0.000852,0.000768,0.000778,0.000850
find_proactive_cmds_time_sec,0.092785,0.210063,0.201087,0.204080,0.207575,0.272083,0.230643,0.095379,0.096072,0.096205,0.097752,0.096366,0.235225,0.194367,0.192022,0.190235,0.190407,0.196803,0.200354,0.098540,0.099419,0.091173,0.096717,0.107667
find_covered_races_time,0.237176,0.377879,0.461001,0.606614,0.642052,0.838794,0.805658,0.933539,0.984261,0.879719,0.899138,0.772666,0.178583,0.182473,0.242515,0.298114,0.332615,0.352670,0.399338,0.555589,0.582102,0.479331,0.496614,0.587089
per_packet_inconsistent_time_sec,0.002882,0.018917,0.033423,0.056948,0.070078,0.090712,0.102607,0.104749,0.118511,0.153652,0.134657,0.188351,0.002349,0.015371,0.033342,0.055020,0.068984,0.083065,0.096442,0.111877,0.116732,0.134770,0.136370,0.198584
find_inconsistent_update_time_sec,-0.000033,-0.000057,-0.000064,-0.000075,-0.000083,-0.000182,-0.000419,-0.000111,-0.000116,-0.000133,-0.000153,-0.000195,-0.000034,-0.000046,-0.000068,-0.000073,-0.000100,-0.000099,-0.000103,0.000000,-0.000123,-0.000131,-0.000140,-0.000213
