key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
num_read,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109
num_writes,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
num_ops,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162
num_rw_time_edges,0,37,58,83,117,129,148,159,180,5,216,279,0,33,48,73,107,119,138,146,159,5,195,258
num_ww_time_edges,0,2,10,18,18,28,28,36,50,0,52,64,0,0,0,0,0,10,10,10,10,0,12,24
num_time_edges,0,39,68,101,135,157,176,195,230,5,268,343,0,33,48,73,107,129,148,156,169,5,207,282
num_harmful,343,304,275,242,208,186,167,148,113,338,75,0,282,249,234,209,175,153,134,126,113,277,75,0
num_commute,2077,2077,2077,2077,2077,2077,2077,2077,2077,2077,2077,2077,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067
num_races,2420,2381,2352,2319,2285,2263,2244,2225,2190,2415,2152,2077,2349,2316,2301,2276,2242,2220,2201,2193,2180,2344,2142,2067
num_covered,0,0,0,0,0,0,0,0,0,0,0,0,73,40,29,18,12,10,4,1,0,68,0,0
num_per_pkt_races,45,45,45,45,40,36,33,29,29,45,24,0,45,45,45,45,40,36,33,29,29,45,24,0
num_per_pkt_inconsistent,45,45,43,43,38,34,30,26,20,45,14,0,36,36,36,36,30,28,24,23,20,36,14,0
num_per_pkt_inconsistent_covered,0,0,2,2,2,2,3,3,8,0,9,0,9,9,9,9,10,8,9,6,8,9,9,0
num_per_pkt_race_version,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
num_per_pkt_inconsistent_no_repeat,20,25,24,26,24,24,21,19,17,21,13,0,22,26,23,24,20,20,17,16,17,23,13,0
