key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf
total_time_sec,0.235147,0.339560,0.321408,0.330793,0.331573,0.335227,0.345940,0.347668,0.342625,0.345857,0.339216,0.341008
load_time_sec,0.118539,0.160918,0.158220,0.158736,0.158512,0.160004,0.161235,0.160855,0.157770,0.160806,0.159904,0.160912
detect_races_time_sec,0.079244,0.105529,0.101426,0.101104,0.100388,0.100240,0.100278,0.099499,0.098912,0.100112,0.099400,0.098663
extract_traces_time_sec,0.020843,0.020405,0.010460,0.009038,0.008074,0.007248,0.006683,0.006323,0.006025,0.006140,0.006031,0.005873
find_reactive_cmds_time_sec,0.000186,0.000250,0.000248,0.000247,0.000244,0.000251,0.000256,0.000252,0.000248,0.000253,0.000254,0.000248
find_proactive_cmds_time_sec,0.003366,0.004399,0.004840,0.004413,0.004425,0.004509,0.004529,0.004574,0.004491,0.004557,0.004561,0.004736
find_covered_races_time,0.012774,0.046133,0.043111,0.052870,0.054998,0.056879,0.066185,0.068556,0.067064,0.064855,0.059700,0.058285
per_packet_inconsistent_time_sec,0.000181,0.001893,0.003031,0.004229,0.004709,0.005803,0.006430,0.007269,0.007768,0.008757,0.008947,0.011777
find_inconsistent_update_time_sec,0.000007,0.000023,0.000062,0.000146,0.000213,0.000283,0.000333,0.000330,0.000337,0.000366,0.000408,0.000503
