key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
total_time_sec,5.771813,5.319876,5.232602,6.037372,6.170423,5.423769,5.052740,5.156126,5.056293,5.007338,5.009602,5.123195,4.905950,4.815985,4.894459,4.635492,4.630390,4.814925,4.942374,4.820332,4.786214,4.716827,4.789482,4.638772
load_time_sec,4.110990,3.655914,3.784391,4.315648,4.606186,3.800208,3.557428,3.596575,3.490821,3.474359,3.443883,3.454928,3.505594,3.422865,3.461863,3.261529,3.241738,3.372460,3.548359,3.424289,3.242855,3.250205,3.170051,3.093568
detect_races_time_sec,1.421626,1.434410,1.180225,1.466800,1.266137,1.321981,1.158948,1.212022,1.192157,1.163158,1.166748,1.160945,1.180747,1.165935,1.156589,1.129906,1.131217,1.151676,1.091523,1.071072,1.093057,1.114984,1.260590,1.057094
extract_traces_time_sec,0.075932,0.072091,0.058598,0.060267,0.053815,0.054262,0.052511,0.050699,0.050482,0.048104,0.049027,0.045056,0.064659,0.062702,0.056994,0.054770,0.053541,0.050147,0.047979,0.047736,0.047410,0.047006,0.044333,0.039443
find_reactive_cmds_time_sec,0.007267,0.006419,0.007556,0.007030,0.007353,0.007572,0.007638,0.007514,0.007614,0.007488,0.007567,0.007368,0.007521,0.007657,0.007114,0.007095,0.006379,0.006898,0.006767,0.006891,0.006951,0.007081,0.006817,0.006525
find_proactive_cmds_time_sec,0.146318,0.132680,0.131804,0.125776,0.137431,0.129180,0.132515,0.126655,0.136066,0.129338,0.138162,0.127573,0.137809,0.137991,0.142945,0.124846,0.117928,0.124354,0.121189,0.125648,0.122521,0.121129,0.116742,0.114406
find_covered_races_time,0.007025,0.009589,0.029200,0.015441,0.021226,0.024249,0.026908,0.032009,0.033007,0.031697,0.035157,0.054122,0.006966,0.009677,0.020845,0.015750,0.017723,0.028756,0.024266,0.026756,0.029609,0.031673,0.033757,0.050468
per_packet_inconsistent_time_sec,0.002540,0.008558,0.040529,0.046068,0.077820,0.085815,0.116249,0.130016,0.145487,0.152500,0.168355,0.272306,0.002546,0.008939,0.047811,0.041248,0.061430,0.080153,0.101793,0.117347,0.241980,0.142437,0.154385,0.262618
find_inconsistent_update_time_sec,-0.000062,-0.000173,-0.000252,-0.000298,-0.000410,-0.000456,-0.000502,-0.000575,-0.000607,-0.000648,-0.000657,-0.000854,-0.000063,-0.000172,-0.000252,-0.000303,-0.000388,-0.000435,-0.000457,-0.000548,-0.001785,-0.002267,-0.002763,-0.014600
