key,value
rw_delta,0
ww_delta,0
alt_barr,False
data_deps,True
total_time_sec,15.191508
load_time_sec,10.192094
detect_races_time_sec,4.418795
extract_traces_time_sec,0.351026
find_reactive_cmds_time_sec,0.008343
find_proactive_cmds_time_sec,0.182686
find_covered_races_time,0.034959
per_packet_inconsistent_time_sec,0.003175
find_inconsistent_update_time_sec,-0.000390
