key/t,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
total_time_sec,4.353826,4.468964,4.585784,4.521467,4.528240,4.652030,4.695108,4.810199,4.794484
load_time_sec,3.076034,3.159482,3.150258,3.075767,3.038816,3.056720,3.061304,3.066150,3.084129
detect_races_time_sec,0.721828,0.715255,0.786838,0.715199,0.698417,0.698893,0.695483,0.708675,0.675449
extract_traces_time_sec,0.099060,0.090730,0.089040,0.104382,0.084324,0.084522,0.082414,0.081395,0.061602
find_reactive_cmds_time_sec,0.005207,0.002900,0.002979,0.002973,0.002898,0.003193,0.002958,0.002914,0.002799
find_proactive_cmds_time_sec,0.141692,0.107932,0.110011,0.117286,0.114114,0.113576,0.112172,0.110335,0.110442
find_covered_races_time,0.285496,0.358554,0.408251,0.460384,0.539584,0.637947,0.680809,0.774052,0.701584
per_packet_inconsistent_time_sec,0.024133,0.033388,0.037637,0.044626,0.049158,0.056237,0.059027,0.065701,0.157057
find_inconsistent_update_time_sec,-0.000212,-0.000555,-0.000613,-0.000692,-0.000768,-0.000780,-0.000777,-0.000802,-0.001253
