key/t,False-0,False-1,False-2,False-3,False-4,False-5,False-6,False-7,False-8,False-9,False-10,False-inf,True-0,True-1,True-2,True-3,True-4,True-5,True-6,True-7,True-8,True-9,True-10,True-inf
total_time_sec,35.625220,44.306986,40.358110,36.110934,32.805444,29.574651,24.460063,19.550156,16.872066,43.413826,16.929342,16.755860,29.343196,19.175047,25.336584,22.287889,18.367616,18.026587,17.217200,17.104545,16.031436,20.500243,16.314465,15.682477
load_time_sec,6.917941,6.416596,6.511849,6.638838,6.350140,6.911014,6.733625,6.104007,6.254344,6.619522,6.200740,6.460181,6.763047,6.466044,6.320470,8.988838,6.698474,6.152217,6.605332,6.369469,6.260716,6.780646,6.234501,6.385466
detect_races_time_sec,0.970233,1.068850,1.053019,1.072362,1.073604,1.130561,1.122697,1.124033,1.096197,1.137820,1.167619,1.145337,1.059895,1.031573,1.046472,1.086526,1.033247,1.049496,1.080519,1.088710,1.089923,1.155994,1.081694,1.114967
extract_traces_time_sec,0.161982,0.149753,0.153814,0.201245,0.188546,0.219156,0.245707,0.492661,0.545628,0.158534,0.580055,0.669540,0.156091,0.151901,0.148751,0.185825,0.207036,0.212989,0.237189,0.506041,0.552019,0.160740,0.560830,0.612873
find_reactive_cmds_time_sec,0.000034,0.000000,0.000034,0.000036,0.000055,0.000036,0.000034,0.000034,0.000037,0.000034,0.000034,0.000072,0.000054,0.000035,0.000037,0.000034,0.000034,0.000033,0.000034,0.000039,0.000035,0.000035,0.000036,0.000000
find_proactive_cmds_time_sec,0.102081,0.095887,0.102487,0.110802,0.101153,0.337305,0.336178,0.096133,0.090272,0.100379,0.090979,0.102447,0.102713,0.100060,0.096192,0.122516,0.106306,0.346158,0.341739,0.102627,0.096537,0.103727,0.099464,0.090253
find_covered_races_time,18.126423,32.360153,28.299218,24.167588,21.866663,17.584414,13.354858,9.006064,6.737898,30.886789,6.698694,6.036020,12.006426,7.339889,9.848642,8.087182,7.251599,7.322022,6.358453,6.536019,5.833025,7.677582,6.177094,5.350354
per_packet_inconsistent_time_sec,2.237927,0.588852,0.465529,0.357657,0.275112,0.199509,0.117467,0.064165,0.021567,0.695896,0.019012,0.006544,2.447236,0.561208,0.862783,0.367726,0.266754,0.206053,0.104676,0.054953,0.015992,0.637076,0.010668,0.004423
find_inconsistent_update_time_sec,-0.000861,-0.000204,-0.000186,-0.000167,-0.000134,-0.000133,-0.000110,-0.000117,-0.000087,-0.000242,-0.000084,-0.000021,-0.000505,-0.000130,-0.000249,-0.000093,-0.000076,-0.000069,-0.000041,-0.000025,-0.000014,-0.000158,-0.000012,-0.000015
